epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.666,1.24839,5.09927,1.67453,0.16654,0.33009,0.15465,0.09022,1.39605,2.81636,1.79677,0.0701357,0.00331825,0.00331825
2,540.447,1.03308,3.2606,1.47219,0.24887,0.37451,0.25715,0.17101,1.16423,2.65663,1.52242,0.0398065,0.00632233,0.00632233
3,818.77,0.99867,2.62979,1.43383,0.33449,0.36136,0.30756,0.21017,1.15066,2.17359,1.66067,0.00914724,0.00899641,0.00899641
4,1094.7,0.99124,2.33536,1.41541,0.41347,0.49238,0.43496,0.32168,1.02816,1.87631,1.55344,0.008515,0.008515,0.008515
5,1383.48,0.9441,2.0204,1.37651,0.49155,0.57565,0.50705,0.3828,0.96224,1.68678,1.41887,0.00802,0.00802,0.00802
6,1671.09,0.90024,1.7637,1.33055,0.71621,0.57047,0.67586,0.50478,0.97982,1.44389,1.41152,0.007525,0.007525,0.007525
7,1973.59,0.85701,1.5646,1.30566,0.68069,0.65302,0.71922,0.57194,0.84769,1.24048,1.33734,0.00703,0.00703,0.00703
8,2274.99,0.82309,1.40547,1.25953,0.82756,0.67437,0.78724,0.63323,0.82615,1.0682,1.29815,0.006535,0.006535,0.006535
9,2574.68,0.80799,1.27517,1.24071,0.80808,0.68382,0.79835,0.64747,0.80357,1.00141,1.24025,0.00604,0.00604,0.00604
10,2871.2,0.79267,1.21675,1.21551,0.8779,0.77178,0.86545,0.70312,0.78299,0.84018,1.22011,0.005545,0.005545,0.005545
11,3092.56,0.90763,1.0214,1.07662,0.88791,0.79901,0.89516,0.726,0.76885,0.77125,1.21605,0.00505,0.00505,0.00505
12,3310.79,0.90224,0.91698,1.06083,0.87701,0.79459,0.88783,0.72569,0.75782,0.77316,1.17544,0.004555,0.004555,0.004555
13,3526.18,0.87713,0.82836,1.0378,0.88958,0.81719,0.89266,0.73461,0.7559,0.68538,1.17857,0.00406,0.00406,0.00406
14,3744.2,0.87351,0.79137,1.02404,0.89002,0.76135,0.86455,0.7152,0.76143,0.75157,1.18693,0.003565,0.003565,0.003565
15,3960.68,0.86105,0.74765,1.01174,0.94438,0.81485,0.92722,0.76469,0.72317,0.60392,1.13298,0.00307,0.00307,0.00307
16,4179.44,0.84474,0.6909,0.99544,0.95133,0.84058,0.93881,0.77886,0.72644,0.56569,1.13471,0.002575,0.002575,0.002575
17,4399.9,0.84403,0.65011,0.9787,0.94167,0.86923,0.94597,0.78541,0.70456,0.52434,1.09812,0.00208,0.00208,0.00208
18,4620.75,0.83106,0.61644,0.96736,0.92245,0.89147,0.95223,0.79207,0.69231,0.51045,1.09175,0.001585,0.001585,0.001585
19,4896.45,0.80642,0.58668,0.96858,0.95104,0.89209,0.95865,0.79978,0.68769,0.48575,1.08035,0.00109,0.00109,0.00109
20,5192.2,0.80823,0.56615,0.94963,0.93158,0.89901,0.95891,0.80383,0.67854,0.47592,1.071,0.000595,0.000595,0.000595
